,title,date,keywords_textrank,ai_entity,day,month,year,status
0,Ray and Maria Stata give $25 million to MIT,1997-12-10,"['mit', 'building', 'company', 'stata', 'statas', 'said']",chatbots,10,12,1997,precovid
1,Notes from the Lab,2000-06-07,"['mit', 'road', 'underwater', 'way', 'sonar']",deep learning,7,6,2000,precovid
2,MIT develops Anklebot for stroke patients,2005-06-30,"['dr', 'robotics', 'robot', 'mit robotic', 'movement', 'therapy']",robotics,30,6,2005,precovid
3,Robotic pets may be bad medicine for melancholy,2006-11-29,"['turkle', 'robot', 'robotic', 'human', 'technology', 'object']",object recognition,29,11,2006,precovid
4,Hard drives will evolve into soft hearts ... or not,2006-12-05,"['consciousness', 'conscious', 'intelligent', 'intelligence', 'gelernter', 'human', 'kurzweil']",artificial intelligence diagnosis,5,12,2006,precovid
5,Computer model mimics neural processes in object recognition,2007-02-23,"['modeling', 'model brain', 'object', 'research', 'scene researcher']",neural modeling fields ,23,2,2007,precovid
6,Robotic brace aids stroke recovery,2007-03-20,"['device', 'stroke', 'mit', 'patient', 'brain']",named-entity extraction,20,3,2007,precovid
7,MIT shows how brain tells glossy from grainy surfaces,2007-04-19,"['skewness', 'skewed', 'researcher', 'research', 'surface', 'brain know']",handwriting recognition,19,4,2007,precovid
8,Poker Bots Learn to Bluff,2007-05-30,"['learned', 'learn', 'learning', 'learns', 'playing', 'play', 'game', 'bluff', 'hurwitz']",intelligent agent,30,5,2007,precovid
9,The Game of Checkers: Solved,2007-07-20,"['game checker', 'chinook', 'combination', 'perfect']",information extraction,20,7,2007,precovid
10,"Fine, We're Simulations. Now What?",2007-08-15,"['time', 'virtual', 'consciousness', 'simulator', 'simulation', 'come']",semantic translation,15,8,2007,precovid
11,Cask from the past,2007-10-29,"['amphora', 'foley', 'researcher', 'research', 'mit', 'dna']",semantic search,29,10,2007,precovid
12,Will the Singularity Make Us Happier?,2008-05-30,"['kurzweil', 'human', 'humanity', 'u', 'talk', 'make', 'making']",data mining,30,5,2008,precovid
13,Everything You Ever Wanted to Know About the Singularity,2008-06-02,"['science', 'image', 'special', 'spectrum', 'comprehend']",speech recognition,2,6,2008,precovid
14,Military AI Could Rule the Internet,2008-08-14,"['human', 'military', 'online self', 'intelligence', 'intelligent']",intelligent agent,14,8,2008,precovid
15,Robot wheelchair finds its own way,2008-09-19,"['wheelchair', 'map', 'saying', 'say', 'researcher', 'research', 'patient']",named-entity extraction,19,9,2008,precovid
16,MIT's new underwater robot can hover in place,2008-09-25,"['odyssey', 'underwater', 'new', 'mit', 'sea']",semantic search,25,9,2008,precovid
17,Going under the (robotic) knife,2008-11-17,"['robotics', 'robot', 'robotic engineering', 'course', 'say', 'student']",intelligent word recognition,17,11,2008,precovid
18,Dig this: RoboClam,2008-11-25,"['clam', 'anchor', 'anchoring', 'winter', 'animal', 'sand']",intelligent word recognition,25,11,2008,precovid
19,Robo-forklift keeps humans out of harm's way,2009-01-21,"['forklift', 'pallet', 'people', 'say', 'saying', 'project']",object recognition,21,1,2009,precovid
20,Lincoln Laboratory is on a 'ROLL',2009-01-22,"['robotics', 'robot', 'mentor', 'mentored', 'mentoring group', 'member', 'roll']",robotics,22,1,2009,precovid
21,Humans No Match for Go Bot Overlords,2009-03-10,"['program', 'programming', 'human', 'said', 'game', 'pattern', 'patterned']",named-entity extraction,10,3,2009,precovid
22,Save Mind Uploading From Wikipedia Doom,2009-04-01,"['mind', 'modern', 'science', 'charles stross']",cybernetics,1,4,2009,precovid
23,Computer Program Self-Discovers Laws of Physics,2009-04-02,"['program', 'science', 'human', 'data', 'law']",cybernetics,2,4,2009,precovid
24,Robot Makes Scientific Discovery All by Itself,2009-04-02,"['adam', 'human', 'robotic', 'robot', 'gene', 'scientist']",robotics,2,4,2009,precovid
25,'Bother bots' win the day,2009-05-08,"['competition', 'design', 'designated', 'class', 'robot built']",activity recognition,8,5,2009,precovid
26,Robotic therapy holds promise for cerebral palsy,2009-05-19,"['robotic', 'robot', 'child', 'therapy', 'research', 'researcher', 'cerebral']",robotics,19,5,2009,precovid
27,Fish and chips,2009-08-24,"['fish', 'robotic', 'robot', 'robotics', 'body', 'researcher', 'research', 'swimming', 'swim']",robotics,24,8,2009,precovid
28,"From nature, robots",2009-09-25,"['kim', 'robotics', 'robotic', 'robot designer', 'gecko', 'designing', 'designed', 'design', 'cheetah']",pattern recognition,25,9,2009,precovid
29,Flight of fancy,2009-12-03,"['quad', 'say', 'competition', 'map', 'mapping', 'challenge']",activity recognition,3,12,2009,precovid
30,Explained: Linear and nonlinear systems,2010-02-26,"['linear', 'linearity', 'nonlinear', 'nonlinearity', 'x', 'ball', 'equation']",automation,26,2,2010,precovid
31,"Virtual Musicians, Real Performances: How Artificial Intelligence Will Change Music",2010-03-02,"['zenph', 'music', 'musical', 'recording', 'record', 'recorded', 'played', 'playing', 'play', 'performer', 'performance', 'performed']",handwriting recognition,2,3,2010,precovid
32,In Profile: Missy Cummings,2010-04-05,"['cummings', 'design', 'designed', 'designing', 'human', 'uavs', 'uav', 'technology', 'technological', 'technologically']",question answering,5,4,2010,precovid
33,Robotic therapy helps stroke patients regain function,2010-04-19,"['therapy', 'study', 'studying', 'robot', 'robotic', 'robotics', 'patient', 'say']",robotics,19,4,2010,precovid
34,6 Mashups of Music and Artificial Intelligence,2010-06-03,"['music', 'musical', 'song', 'human', 'created', 'creating', 'create', 'ujam']",language identification,3,6,2010,precovid
35,A plane that lands like a bird,2010-07-20,"['glider', 'cory', 'plane', 'land', 'landing', 'control', 'controlled']",data mining,20,7,2010,precovid
36,3 Questions: Nicholas Roy on deploying drones in U.S. skies,2010-07-22,"['uavs', 'uav', 'vehicle', 'aircraft', 'gps', 'information']",information extraction,22,7,2010,precovid
37,The Future of Robot Scientists,2010-07-22,"['human', 'rzhetsky', 'hypothesis', 'data', 'tool']",robotics,22,7,2010,precovid
38,Shape-shifting robots,2010-08-05,"['shape', 'demaine', 'researcher', 'research', 'robot', 'robotics', 'robotic', 'sheet']",robotics,5,8,2010,precovid
39,What's on Our Robot Overlord's iPod? Autolux,2010-08-11,"['edward', 'technology', 'technological', 'autolux', 'think', 'beatles']",facial recognition,11,8,2010,precovid
